Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file
1165	3	3	3	0.0	0.029123181477189064	0.3022458823615934	0	0	0	1	1	1.89	0	1	1	14.0	7.0	18.0	9.0	21.0	27.0	118.59257	9.0	1067.3331	59.296284	0.039530855	128.1388702392578	1	0	0	0	0	0	0	2	0	0	0	liscju	0	5722	20/02/17-22/06/01	0	0	0	0	0	0	0	0	1182.json
1034	16,16	14,14	16,16	0.0,0.0	0.3828222453594208,0.3828222453594208	0.8927903984082303,0.8927903984082303	1,1	1,1	2,2	3,3	3,3	3.73,3.73	2,2	1,1	1,1	20.0,20.0	7.0,7.0	38.0,38.0	14.0,14.0	27.0,27.0	52.0,52.0	247.25415,247.25415	20.0,20.0	4945.083,4945.083	274.72684,274.72684	0.08241805,0.08241805	96.73989868164062,96.73989868164062	0,0	0,0	0,0	1,1	1,1	0,0	0,0	1,1	1,1	0,0	0,0	Andrew Kuchev,Pavel Bludov	0,336	5854,6190	02/07/17-22/06/01,03/06/18-22/06/01	0,0	0,0	0,0	0,332	0,238	0,0	0,0	0,1	3371.json
6184	4,4,4,3,3	3,3,3,3,3	4,4,4,3,3	0.0,0.0,0.0,0.0,0.0	0.8495808839797974,0.8495808839797974,0.8612589836120605,0.8949078321456909,0.8949078321456909	0.9847576142045438,0.9847576142045438,0.9852317109404616,0.9721260865782739,0.9703610196532844	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	1.73,1.73,1.73,1.89,1.89	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	9.0,9.0,9.0,9.0,9.0	2.0,2.0,2.0,2.0,2.0	10.0,10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0,2.0	11.0,11.0,11.0,11.0,11.0	12.0,12.0,12.0,12.0,12.0	41.51318,41.51318,41.51318,41.51318,41.51318	4.5,4.5,4.5,4.5,4.5	186.80931,186.80931,186.80931,186.80931,186.80931	10.378295,10.378295,10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727,0.013837727,0.013837727	128.936767578125,128.936767578125,128.936767578125,133.59722900390625,133.59722900390625	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	Rick Giles,Ivan Sopov,alexkravin,Michal Kordas,Michal Kordas	0,3934,4255,4394,4473	704,4638,4959,5098,5177	27/05/03-22/06/01,04/03/14-22/06/01,19/01/15-22/06/01,07/06/15-22/06/01,25/08/15-22/06/01	0,0,1,0,1	0,0,2,0,2	0,0,2,8,1	0,1425,141,32,2	0,0,141,0,2	0,0,0,0,0	0,0,0,0,1	0,0,0,0,1	801.json
1908	23,3	3,3	23,3	0.0,0.0	0.0,0.31042516231536865	0.07981667891257209,0.8962067334744126	0,0	0,0	0,0	1,1	1,1	2.79,1.89	0,0	0,1	0,1	13.0,11.0	20.0,1.0	50.0,13.0	37.0,1.0	33.0,12.0	87.0,14.0	438.86227,50.189476	12.025001,5.5	5277.3193,276.0421	293.18442,15.335673	0.14628743,0.016729826	88.33722686767578,132.61029052734375	0,0	0,0	0,0	1,1	0,0	0,0	1,1	0,0	0,0	0,0	0,0	alexkravin,Subbu Dantu	0,1010	4979,5989	08/02/15-22/06/01,14/11/17-22/06/01	0,1	0,21	0,624	0,119	0,119	0,0	0,0	0,1	1781.json
1644	7,7,8,9	3,3,3,3	7,7,8,9	0.0,0.0,0.0,0.0	0.2108185738325119,0.20154663920402527,0.09007293730974197,0.03599690645933151	0.22478220846295774,0.18317949784718143,0.09862341593005548,0.04731259308086031	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	4.2,4.2,4.44,4.53	0,0,0,0	3,3,4,5	1,1,1,1	16.0,17.0,17.0,17.0	7.0,7.0,8.0,9.0	32.0,33.0,39.0,45.0	10.0,10.0,11.0,12.0	23.0,24.0,25.0,26.0	42.0,43.0,50.0,57.0	189.98961,197.15338,232.19281,267.92508	11.428572,12.142858,11.6875,11.333334	2171.3098,2394.0054,2713.7534,3036.4844	120.62833,133.0003,150.76408,168.69357	0.06332987,0.065717794,0.0773976,0.08930836	111.9620132446289,111.76954650878906,108.75569152832031,106.10328674316406	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,1,1,1	0,0,0,0	0,0,0,0	2,2,2,2	0,0,0,0	1,1,1,1	1,1,1,1	Andrei Selkin,rnveach,Vladislav Lisetskiy,Vladislav Lisetskiy	0,0,212,221	5244,5244,5456,5465	31/10/15-22/06/01,31/10/15-22/06/01,30/05/16-22/06/01,08/06/16-22/06/01	0,1,1,1	0,2,1,1	0,7,59,63	0,4,30,3	0,4,30,3	0,0,0,0	0,0,1,1	0,0,1,1	2809.json
4520	4,4,3,3	3,3,3,3	4,4,3,3	0.0,0.0,0.0,0.0	0.2287008911371231,0.2287008911371231,0.3562808632850647,0.41723111271858215	0.5912591303057719,0.5912591303057719,0.9000111874164429,0.8974724812808058	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1.73,1.73,1.89,1.89	0,0,0,0	0,0,1,1	0,0,1,1	13.0,13.0,11.0,11.0	4.0,4.0,1.0,1.0	18.0,18.0,13.0,13.0	5.0,5.0,1.0,1.0	17.0,17.0,12.0,12.0	23.0,23.0,14.0,14.0	94.01165,94.01165,50.189476,50.189476	8.125,8.125,5.5,5.5	763.84467,763.84467,276.0421,276.0421	42.435814,42.435814,15.335673,15.335673	0.031337216,0.031337216,0.016729826,0.016729826	124.6862564086914,124.6862564086914,132.61029052734375,132.61029052734375	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	Oliver Burn,Ivan Sopov,Andrei Selkin,Subbu Dantu	0,2271,2800,3586	2367,4638,5168,5954	15/12/07-22/06/01,04/03/14-22/06/01,16/08/15-22/06/01,10/10/17-22/06/01	0,0,1,1	0,0,2,2	0,0,54,9	0,1425,144,3	0,0,144,3	0,0,0,0	0,0,0,0	0,0,1,1	1139.json
1706	8	8	8	0.0	0.09613420069217682	0.24865730637413072	3	2	5	3	3	4.47	2	2	2	19.0	6.0	34.0	11.0	25.0	45.0	208.97353	17.416668	3639.6226	202.20125	0.06965784	108.84356689453125	1	0	0	0	0	0	0	2	1	0	0	Baratali Izmailov	0	5182	30/08/15-22/06/01	0	0	0	0	0	0	0	0	2838.json
6410	53,52,53,53,53,54,54,53,56,55,55,55,55,55,54,38,32,31,30,23,23,23,23,23,23,20,20	25,25,25,27,27,27,27,27,30,30,30,30,30,28,28,20,15,15,15,14,14,14,14,14,14,14,14	45,44,45,47,47,48,48,47,50,49,49,49,49,47,47,30,23,22,21,18,18,18,18,18,18,18,18	0.13333333333333333,0.13636363636363635,0.13333333333333333,0.1276595744680851,0.1276595744680851,0.125,0.125,0.1276595744680851,0.12,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.1276595744680851,0.10638297872340426,0.13333333333333333,0.17391304347826086,0.18181818181818182,0.19047619047619047,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581717800348997E-4,7.67500139772892E-4,7.714933017268777E-4,8.047054288908839E-4,8.067961316555738E-4,8.681783801876009E-4,1.6038466128520668E-4,1.2796363444067538E-4	1.3425868770070938E-15,6.083438338078185E-15,5.3076916658512785E-15,3.650891763794174E-15,3.650891763794174E-15,5.312625494615248E-15,5.312625494615248E-15,3.6444313779784466E-15,1.469908149501071E-16,1.9393415401363238E-16,1.9474180947667335E-16,1.967227417491313E-16,2.8005406954720207E-15,4.091888816835047E-15,8.320025240704617E-15,2.8325691448596797E-10,2.770673315337886E-7,6.429531928580086E-7,4.894659641093289E-7,1.7242159758722122E-5,5.4539120121933534E-6,5.365506353818635E-6,5.3619734909185715E-6,5.317473757135209E-6,7.996243191320488E-6,2.4293289276629847E-6,1.8182095479094053E-6	10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,9	15,14,14,14,14,14,14,14,15,15,15,15,15,15,15,11,8,7,7,6,6,6,6,6,6,6,6	25,24,24,24,24,24,24,24,27,27,27,27,27,27,27,23,16,15,15,14,14,14,14,14,14,14,15	13,13,13,13,13,13,13,13,14,14,14,14,14,14,13,9,7,7,7,6,6,6,6,6,6,6,6	13,13,13,13,13,13,13,13,14,14,14,14,14,14,13,9,7,7,7,6,6,6,6,6,6,6,6	4.86,4.88,5.48,5.48,5.48,4.86,4.86,5.35,5.22,5.25,5.51,5.25,5.25,5.25,6.78,5.83,5.73,5.65,5.25,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69	8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,4,4,4,4,4,4,4,4,4,4,4,4	37,37,40,40,40,40,40,40,44,44,44,44,44,44,44,30,22,21,20,16,16,16,16,16,14,14,13	8,8,9,9,9,9,9,9,11,11,11,11,11,11,11,12,11,11,11,10,10,10,10,10,9,9,10	34.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,34.0,34.0,34.0,34.0,34.0,35.0,36.0,36.0,35.0,35.0,31.0,32.0,32.0,32.0,32.0,31.0,31.0,32.0	18.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,16.0,16.0,13.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0	230.0,225.0,231.0,233.0,233.0,233.0,233.0,233.0,250.0,248.0,248.0,248.0,236.0,234.0,230.0,160.0,123.0,118.0,116.0,95.0,102.0,102.0,102.0,102.0,98.0,98.0,96.0	78.0,76.0,73.0,73.0,73.0,73.0,73.0,73.0,78.0,78.0,72.0,72.0,70.0,70.0,68.0,47.0,37.0,37.0,38.0,30.0,29.0,29.0,29.0,29.0,31.0,31.0,33.0	52.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0,53.0,53.0,53.0,53.0,54.0,55.0,53.0,51.0,51.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,46.0	308.0,301.0,304.0,306.0,306.0,306.0,306.0,306.0,328.0,326.0,320.0,320.0,306.0,304.0,298.0,207.0,160.0,155.0,154.0,125.0,131.0,131.0,131.0,131.0,129.0,129.0,129.0	1755.7355,1698.8007,1715.7322,1727.0199,1727.0199,1727.0199,1727.0199,1727.0199,1860.5555,1839.8971,1832.9346,1832.9346,1752.7437,1741.2878,1714.9565,1196.7415,916.4673,879.2259,873.55347,682.42896,715.18555,715.18555,715.18555,715.18555,704.26666,704.26666,712.5395	73.66667,73.7647,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,85.3125,82.875,64.42105,64.42105,62.63158,62.63158,62.631577,44.526318,39.176468,40.46875,41.5625,35.76923,38.666668,38.666668,38.666668,38.666668,36.96154,36.96154,37.714287	129339.19,125311.52,133076.48,133951.98,133951.98,133951.98,133951.98,133951.98,158728.64,152481.47,118079.57,118079.57,109777.1,109059.61,107410.43,53286.49,35903.953,35581.17,36307.066,24409.959,27653.842,27653.842,27653.842,27653.842,26030.781,26030.781,26872.918	7185.5103,6961.7515,7393.138,7441.777,7441.777,7441.777,7441.777,7441.777,8818.258,8471.192,6559.976,6559.976,6098.728,6058.867,5967.246,2960.3604,1994.6641,1976.7318,2017.0592,1356.1089,1536.3246,1536.3246,1536.3246,1536.3246,1446.1545,1446.1545,1492.94	0.58524513,0.5662669,0.57191074,0.5756733,0.5756733,0.5756733,0.5756733,0.5756733,0.6201852,0.613299,0.6109782,0.6109782,0.5842479,0.58042926,0.5716522,0.39891383,0.3054891,0.2930753,0.29118448,0.22747631,0.23839518,0.23839518,0.23839518,0.23839518,0.23475556,0.23475556,0.23751317	67.49472045898438,68.03020477294922,67.61457061767578,66.87601470947266,66.87601470947266,66.53495025634766,66.53495025634766,66.87601470947266,65.25634765625,65.64169311523438,65.66140747070312,65.66140747070312,65.89403533935547,66.60323333740234,66.91246795654297,76.9763412475586,83.12825775146484,84.06409454345703,84.85137939453125,88.86255645751953,88.61875915527344,88.61875915527344,88.61875915527344,88.61875915527344,88.69876098632812,88.69876098632812,88.63803100585938	0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1	10,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	Oliver Burn,Oliver Burn,Oliver Burn,Oliver Burn,Oliver Burn,Oliver Burn,Oliver Burn,Ivan Sopov,Max,sopov.ivan,ychulovskyy,alexkravin,Michal Kordas,Michal Kordas,Michal Kordas,Roman Ivanov,Roman Ivanov,Ilja Dubinin,Andrei Selkin,Andrei Selkin,Ruslan Diachenko,Ilja Dubinin,Michal Kordas,Michal Kordas,rnveach,Pavel Bludov,Andrei_Paikin	0,0,23,23,42,66,234,4160,4322,4403,4478,4481,4531,4532,4542,4626,4626,4670,4675,4685,4699,4701,4701,4702,4778,5712,6325	478,478,501,501,520,544,712,4638,4800,4881,4956,4959,5009,5010,5020,5104,5104,5148,5153,5163,5177,5179,5179,5180,5256,6190,6803	13/10/02-22/06/01,13/10/02-22/06/01,05/11/02-22/06/01,05/11/02-22/06/01,24/11/02-22/06/01,18/12/02-22/06/01,04/06/03-22/06/01,04/03/14-22/06/01,13/08/14-22/06/01,02/11/14-22/06/01,16/01/15-22/06/01,19/01/15-22/06/01,10/03/15-22/06/01,11/03/15-22/06/01,21/03/15-22/06/01,13/06/15-22/06/01,13/06/15-22/06/01,27/07/15-22/06/01,01/08/15-22/06/01,11/08/15-22/06/01,25/08/15-22/06/01,27/08/15-22/06/01,27/08/15-22/06/01,28/08/15-22/06/01,12/11/15-22/06/01,03/06/18-22/06/01,06/02/20-22/06/01	0,2,3,2,0,3,0,0,3,2,6,25,6,2,29,3,2,1,1,2,1,1,1,1,2,1,1	0,5,6,4,0,5,0,0,3,5,12,50,12,4,59,18,10,3,3,11,2,2,2,2,4,2,2	0,57,70,4,0,37,0,30,143,25,122,67,16,4,231,759,374,67,66,405,16,6,2,4,28,4,38	0,1,5,1,1,1,12,1425,2,17,5,15,242,6,3,2,2,2,4,3,28,95,7,24,2,332,39	0,1,5,1,0,1,0,0,2,17,5,15,242,6,3,2,2,2,4,3,28,74,7,24,2,238,38	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0	0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1	1421.json
947	10	10	10	0.0	0.2618855834007263	0.6445776359536938	2	1	3	3	3	4.08	2	1	1	18.0	7.0	32.0	11.0	25.0	43.0	199.6858	14.142857	2824.1277	156.89598	0.06656194	105.46504974365234	0	0	0	1	0	0	0	1	2	0	0	Timur	0	5941	27/09/17-22/06/01	0	0	0	0	0	0	0	0	711.json
6407	27,28,28,28,28,29,29,29,29,29,29,29,16	14,14,14,14,14,14,14,14,14,14,14,14,15	25,26,26,26,26,27,27,27,27,27,27,27,16	0.04,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0	0.00845977384597063,0.008191016502678394,0.008191016502678394,0.00832358654588461,0.0028778337873518467,0.0026891168672591448,0.0023390355054289103,0.0024253735318779945,0.0022207770962268114,0.0022207770962268114,0.002223375951871276,0.0027785387355834246,0.09684157371520996	1.536161043181792E-7,2.4706534351665833E-7,2.4706534351665833E-7,1.386655544821374E-7,1.3872574653177446E-7,1.2028741326909259E-7,5.8603630372335085E-8,2.739538072045757E-8,1.12824051339265E-8,1.12824051339265E-8,1.1530868691245872E-8,1.1752141429546232E-8,0.057209881301235076	15,15,15,15,15,15,14,14,14,14,14,14,3	13,13,13,13,13,13,13,13,13,13,13,13,3	28,28,28,28,28,28,27,27,27,27,27,27,6	4,4,4,4,4,4,4,4,4,4,4,4,5	4,4,4,4,4,4,4,4,4,4,4,4,2	4.4,4.62,4.62,4.51,4.51,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.99	1,1,1,1,1,1,1,1,1,1,1,1,3	21,21,21,21,21,21,22,22,22,22,22,22,5	16,16,16,16,16,16,17,17,17,17,17,17,5	37.0,37.0,37.0,37.0,37.0,37.0,38.0,38.0,40.0,40.0,40.0,40.0,28.0	13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,9.0	112.0,112.0,112.0,114.0,114.0,115.0,118.0,118.0,121.0,121.0,121.0,121.0,54.0	41.0,41.0,41.0,42.0,42.0,43.0,43.0,47.0,47.0,47.0,47.0,46.0,16.0	50.0,50.0,50.0,50.0,50.0,51.0,52.0,52.0,54.0,54.0,54.0,55.0,37.0	153.0,153.0,153.0,156.0,156.0,158.0,161.0,165.0,168.0,168.0,168.0,167.0,70.0	863.50995,863.50995,863.50995,880.4415,880.4415,896.24316,917.7708,940.5726,966.8211,966.8211,966.8211,965.48706,364.66174	58.346157,58.346157,58.346157,59.76923,59.76923,56.821426,58.357143,63.785717,67.14286,67.14286,67.14286,61.333332,24.88889	50382.49,50382.49,50382.49,52623.312,52623.312,50925.816,53558.484,59995.098,64915.133,64915.133,64915.133,59216.54,9076.025	2799.027,2799.027,2799.027,2923.5173,2923.5173,2829.212,2975.4714,3333.061,3606.3962,3606.3962,3606.3962,3289.8076,504.22363	0.28783664,0.28783664,0.28783664,0.29348052,0.29348052,0.29874772,0.3059236,0.3135242,0.3222737,0.3222737,0.3222737,0.32182902,0.12155391	82.77698516845703,82.14160919189453,82.14160919189453,82.04063415527344,82.04063415527344,81.33673858642578,81.21331787109375,81.08570098876953,80.94257354736328,80.94257354736328,80.94257354736328,80.94975280761719,94.25941467285156	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1	6,6,6,6,6,6,6,6,6,6,6,6,1	1,1,1,3,3,3,3,7,7,7,7,7,0	1,1,1,1,1,1,1,2,2,2,2,2,0	Lars Kühne,Oliver Burn,Oliver Burn,Oliver Burn,Oliver Burn,Michael Studman,Oleg Sukhodolsky,Oliver Burn,Oliver Burn,Ivan Sopov,alexkravin,alexkravin,alexkravin	0,2,231,251,680,712,938,1359,1885,4157,4478,4510,4516	481,483,712,732,1161,1193,1419,1840,2366,4638,4959,4991,4997	16/10/02-22/06/01,18/10/02-22/06/01,04/06/03-22/06/01,24/06/03-22/06/01,26/08/04-22/06/01,27/09/04-22/06/01,11/05/05-22/06/01,06/07/06-22/06/01,14/12/07-22/06/01,04/03/14-22/06/01,19/01/15-22/06/01,20/02/15-22/06/01,26/02/15-22/06/01	0,2,0,2,2,4,1,5,1,0,6,1,12	0,4,0,4,4,7,2,10,2,0,12,2,37	0,27,0,8,12,71,9,8,8,0,18,21,887	0,39,24,8,24,49,34,112,31,1425,36,8,20	0,39,0,8,24,49,34,112,31,0,36,8,20	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,1,1	2286.json
1541	3	3	3	0.0	0.765251636505127	0.7163982453639934	0	0	0	1	1	1.89	0	1	1	12.0	3.0	14.0	4.0	15.0	18.0	70.32403	8.0	562.5922	31.255123	0.023441343	130.85629272460938	1	0	0	0	1	0	0	1	0	0	0	liscju	0	5346	10/02/16-22/06/01	0	0	0	0	0	0	0	0	1170.json
1639	3	3	3	0.0	0.16293756663799286	0.8407582160419091	0	0	0	1	1	1.89	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	Andrei Selkin	0	5248	04/11/15-22/06/01	0	0	0	0	0	0	0	0	1359.json
